a,b,c,d,e,f,g,h,label
0,4,15,0,-2,-2,-1,-2,rest
5,16,-13,1,-2,-1,1,-1,rest
-3,-13,-13,-2,3,2,1,-2,rest
0,-3,-3,-2,-1,-2,-1,-2,rest
-2,-8,-21,-5,-3,-1,1,0,rest
-2,-2,25,3,0,-1,1,1,rest
0,-2,-9,0,1,-1,0,-2,rest
2,-15,-14,-4,-4,-2,2,16,rest
2,17,11,8,4,0,1,-2,rest
-4,-10,-5,1,0,0,0,-1,rest
-3,-8,-10,-1,-2,0,0,-1,rest
-1,-9,-46,-6,-2,0,0,-9,rest
-12,-9,16,-1,-2,1,-7,-1,rest
1,-2,13,0,-2,-1,-4,0,rest
1,0,-1,2,-3,-1,-1,0,rest
3,-3,-27,-9,-4,-3,0,0,rest
-2,-8,-2,-1,2,1,2,-3,rest
-7,-8,-12,-1,-1,0,1,-4,rest
3,2,-9,-2,0,0,-4,5,rest
-1,-7,-4,-1,-1,0,0,-2,rest
2,5,10,3,1,1,1,-2,rest
1,-5,6,-1,-3,-2,-1,-2,rest
5,2,-16,0,0,-1,1,11,rest
1,6,25,2,1,1,1,-1,rest
3,-2,0,6,2,2,2,2,rest
-4,-2,-5,-1,-1,-1,1,-6,rest
5,-5,11,3,1,-1,0,-2,rest
-15,-9,-6,-7,-4,-4,-1,-7,rest
-2,-5,-20,-3,-2,-2,-1,-1,rest
2,5,6,6,3,0,2,0,rest
-9,-3,-12,1,1,0,1,-4,rest
-3,3,6,0,-3,-1,0,-17,rest
-2,-5,1,-4,0,1,0,-1,rest
-1,10,3,4,0,2,1,2,rest
4,5,-5,-1,-2,-2,0,1,rest
-5,-28,-12,-5,-1,-1,-1,-4,rest
-4,11,18,4,2,0,1,0,rest
5,-20,3,1,-1,-3,0,1,rest
-3,3,-20,-6,-2,-2,-1,-3,rest
-3,-4,-24,-4,-4,-1,0,-2,rest
-1,4,20,4,1,0,2,-3,rest
4,4,9,1,0,-1,1,-7,rest
-3,-8,18,-1,-2,0,1,15,rest
1,-2,22,3,-1,-1,-1,-1,rest
1,-5,-7,-3,-2,-1,0,1,rest
-1,-3,-7,2,-1,-1,1,-2,rest
5,4,20,3,1,0,2,-1,rest
-2,1,-4,-1,-1,0,1,0,rest
2,4,8,-3,-1,-1,1,-3,rest
-6,-1,31,6,1,-1,1,-4,rest
4,-4,2,2,-1,-2,1,14,rest
-3,1,-8,-2,-1,-1,0,-6,rest
1,22,8,-2,-2,-1,0,-1,rest
-3,-13,-13,-6,-4,-2,1,-9,rest
4,4,5,-1,-1,-1,-1,0,rest
-4,-5,-35,-2,1,2,1,0,rest
4,7,13,4,0,0,1,2,rest
8,3,-2,2,-2,-1,2,0,rest
-3,-1,15,0,-1,-1,1,-1,rest
